per_of_RERERETE_semantics_0,seq_of_RERERETE_semantics_0,per_of_RERERETE_semantics_1,seq_of_RERERETE_semantics_1,per_of_RERERETE_semantics_2,seq_of_RERERETE_semantics_2,per_of_RERERETE_semantics_3,seq_of_RERERETE_semantics_3,per_of_RERERETE_semantics_4,seq_of_RERERETE_semantics_4,per_of_RERERETE_kwg_0,seq_of_RERERETE_kwg_0,per_of_RERERETE_kwg_1,seq_of_RERERETE_kwg_1,per_of_RERERETE_kwg_2,seq_of_RERERETE_kwg_2,per_of_RERERETE_kwg_3,seq_of_RERERETE_kwg_3,per_of_RERERETE_kwg_4,seq_of_RERERETE_kwg_4,per_of_RERERETE_SIR_0,seq_of_RERERETE_SIR_0,per_of_RERERETE_SIR_1,seq_of_RERERETE_SIR_1,per_of_RERERETE_SIR_2,seq_of_RERERETE_SIR_2,per_of_RERERETE_SIR_3,seq_of_RERERETE_SIR_3,per_of_RERERETE_SIR_4,seq_of_RERERETE_SIR_4,per_of_RNormalTranslation_semantics_0,seq_of_RNormalTranslation_semantics_0,per_of_RNormalTranslation_kwg_0,seq_of_RNormalTranslation_kwg_0,per_of_RNormalTranslation_sir_0,seq_of_RNormalTranslation_sir_0,per_of_RPivotTranslation_semantics_0,seq_of_RPivotTranslation_semantics_0,per_of_RPivotTranslation_kwg_0,seq_of_RPivotTranslation_kwg_0,per_of_RPivotTranslation_sir_0,seq_of_RPivotTranslation_sir_0
49.6834831237793,179,97.79251861572266,146,94.72303009033203,195,12.59727954864502,288,15.162139892578125,213,15.162139892578125,255,53.74692916870117,308,15.162139892578125,246,45.72809600830078,270,15.263677597045898,278,103.54072570800781,140,103.54072570800781,141,12.59727954864502,174,103.54072570800781,140,74.22232818603516,144,40.1191291809082,320,40.1191291809082,303,40.1191291809082,197,33.09479522705078,227,33.09479522705078,224,33.09479522705078,201
35.49366760253906,72,48.55760192871094,72,29.088300704956055,81,61.883506774902344,122,38.476810455322266,94,85.20570373535156,175,31.715959548950195,236,67.46245574951172,163,27.13469696044922,216,48.761878967285156,184,82.56490325927734,279,120.61614227294922,266,55.786617279052734,316,112.0943374633789,243,56.50455856323242,322,68.90866088867188,129,69.37796020507812,239,287.68310546875,340,74.2759017944336,161,74.6865234375,230,66.84241485595703,137
18.961502075195312,152,42.14933776855469,100,32.71826171875,162,13.673712730407715,171,17.2711124420166,166,45.82160568237305,115,17.2711124420166,292,47.66743850708008,118,38.197654724121094,223,17.2711124420166,159,15.25072193145752,277,32.28568649291992,245,12.752490043640137,402,13.659381866455078,216,12.666533470153809,326,11.55340576171875,220,11.55340576171875,330,11.55340576171875,495,43.565704345703125,250,44.815574645996094,243,11.55340576171875,198
24.14065170288086,67,29.432497024536133,46,28.021360397338867,68,24.14065170288086,93,26.303491592407227,63,31.674177169799805,152,15.601036071777344,212,33.13397979736328,129,21.194408416748047,197,22.07422637939453,181,22.07422637939453,77,17.484254837036133,77,22.07422637939453,81,32.362056732177734,71,22.07422637939453,77,43.3256950378418,110,34.435089111328125,231,50.32318115234375,84,60.475807189941406,93,85.27667236328125,166,21.317049026489258,242
51.52608108520508,76,45.434661865234375,78,60.0445671081543,82,48.84986877441406,231,31.012699127197266,213,68.27552032470703,278,48.84986877441406,326,53.06486129760742,228,53.8277587890625,313,41.3045768737793,297,36.61222839355469,97,67.83755493164062,94,44.304359436035156,120,53.47489547729492,96,27.69574737548828,103,96.05683135986328,318,71.92105102539062,308,70.71825408935547,117,170.48812866210938,237,62.98490905761719,223,71.92105102539062,219
42.775352478027344,208,27.01596450805664,221,27.01596450805664,234,12.010674476623535,277,20.966157913208008,241,29.676713943481445,270,52.325138092041016,301,29.49117660522461,240,41.51833724975586,289,41.50068283081055,268,22.2028865814209,407,21.937509536743164,401,30.667991638183594,475,12.816582679748535,390,42.87465286254883,436,101.80602264404297,284,73.2044906616211,295,100.6034927368164,517,61.09255599975586,211,75.14691925048828,209,83.90682983398438,228
44.01012420654297,161,62.9967155456543,160,114.21737670898438,171,114.21737670898438,228,114.21737670898438,201,73.23465728759766,179,66.2992172241211,254,73.23465728759766,170,88.8880844116211,220,95.28263854980469,195,43.68307113647461,172,32.64362716674805,155,102.00315856933594,201,51.68190002441406,150,108.32823944091797,187,62.72248458862305,312,107.16117858886719,282,127.67747497558594,237,54.849464416503906,213,79.58308410644531,212,79.8701400756836,142
88.09249114990234,219,103.74528503417969,210,32.7834358215332,252,64.72045135498047,291,32.7834358215332,267,64.10014343261719,180,48.329654693603516,270,99.9992904663086,176,19.5267276763916,240,19.5267276763916,218,18.79193115234375,254,61.28892517089844,246,23.510164260864258,339,46.5626106262207,221,45.090431213378906,266,91.45610046386719,299,80.88927459716797,264,76.36817932128906,340,45.21120071411133,220,57.02878952026367,179,85.45072937011719,247
33.396244049072266,122,33.396244049072266,121,33.396244049072266,136,30.136058807373047,252,33.75139617919922,146,84.54145812988281,167,37.20664978027344,297,46.32939147949219,146,14.454671859741211,191,28.113815307617188,177,18.394527435302734,81,70.184814453125,48,28.35665512084961,105,71.43223571777344,42,22.876808166503906,95,27.985519409179688,309,27.985519409179688,306,27.985519409179688,106,27.985519409179688,238,27.985519409179688,235,27.985519409179688,226
33.55738830566406,190,33.55738830566406,178,40.581661224365234,203,33.11162185668945,285,52.819278717041016,238,23.35053825378418,108,20.44635009765625,214,22.55350112915039,108,25.352304458618164,195,22.30862808227539,135,8.384482383728027,168,8.384482383728027,134,55.754093170166016,173,12.238972663879395,117,55.754093170166016,166,52.049686431884766,283,17.24062156677246,193,61.765586853027344,214,45.7420768737793,225,40.774513244628906,177,35.9012451171875,227
